;available;price;name;rating;link
166;В наличии;179999;GIGABYTE Radeon RX 6900 XT AORUS XTREME WATERFORCE WB [GV-R69XTAORUSX WB-16GD] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 2250 МГц - 2525 МГц, DisplayPort x2, HDMI x2];4,5;https://www.dns-shop.ru//product/45088ccd7b2f3332/videokarta-gigabyte-radeon-rx-6900-xt-aorus-xtreme-waterforce-wb-gv-r69xtaorusx-wb-16gd/
167;В магазинах;181999;Gigabyte GeForce RTX 3080 AORUS MASTER (LHR) [GV-N3080AORUS M-10GD rev3.0] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1845 МГц, DisplayPort x3, HDMI x3];4,5;https://www.dns-shop.ru//product/2f740af2e3abd763/videokarta-gigabyte-geforce-rtx-3080-aorus-master-lhr-gv-n3080aorus-m-10gd-rev30/
168;В наличии;181999;с с видеокартой Gigabyte GeForce RTX 3080 AORUS GAMING BOX (LHR) [GV-N3080IXEB-10GD rev2.0] [Thunderbolt 3 (Type-C) 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1710 МГц, DisplayPort x3, HDMI x2];4;https://www.dns-shop.ru//product/da51f69fdb0ad763/vnesnij-boks-s-videokartoj-gigabyte-geforce-rtx-3080-aorus-gaming-box-lhr-gv-n3080ixeb-10gd-rev20/
169;В наличии;182999;GIGABYTE GeForce RTX 3080 Ti VISION OC [GV-N308TVISION OC-12GD] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1365 МГц, DisplayPort x3, HDMI x2];4,5;https://www.dns-shop.ru//product/81d2ed68a63c2ff1/videokarta-gigabyte-geforce-rtx-3080-ti-vision-oc-gv-n308tvision-oc-12gd/
170;В магазинах;188499;ASUS ROG Strix GeForce RTX 3080 V2 OC Edition (LHR) [ROG-STRIX-RTX3080-O10G-V2-GAMING] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1935 МГц, DisplayPort x3, HDMI x2];4,5;https://www.dns-shop.ru//product/581e407dfb4ec823/videokarta-asus-rog-strix-geforce-rtx-3080-v2-oc-edition-lhr-rog-strix-rtx3080-o10g-v2-gaming/
171;В наличии;194999;ASUS AMD Radeon RX 6800 XT STRIX GAMING OC LC [ROG-STRIX-LC-RX6800XT-O16G-GAMING] [PCI-E 4.0, 16 ГБ GDDR6, 256 бит, 1825 МГц - 2360 МГц, DisplayPort x2, HDMI, USB-C];5;https://www.dns-shop.ru//product/f6984fd76f4f3332/videokarta-asus-amd-radeon-rx-6800-xt-strix-gaming-oc-lc-rog-strix-lc-rx6800xt-o16g-gaming/
172;В наличии;198999;GIGABYTE GeForce RTX 3080 Ti GAMING OC [GV-N308TGAMING OC-12GD] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1365 МГц, HDMI x2, DisplayPort x3];4,5;https://www.dns-shop.ru//product/6f0ada7398d3d760/videokarta-gigabyte-geforce-rtx-3080-ti-gaming-oc-gv-n308tgaming-oc-12gd/
173;В наличии;206999;ASUS ROG Strix GeForce RTX 3080 OC Edition [ROG-STRIX-RTX3080-O12G-GAMING] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1260 МГц - 1890 МГц, DisplayPort x3, HDMI x2];4,5;https://www.dns-shop.ru//product/ffbf5961854eed20/videokarta-asus-rog-strix-geforce-rtx-3080-oc-edition-rog-strix-rtx3080-o12g-gaming/
174;В наличии;209999;Palit GeForce RTX 3080 Ti GameRock [NED308T019KB-1020G] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1365 МГц - 1665 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/0d68b886a66a2ff1/videokarta-palit-geforce-rtx-3080-ti-gamerock-ned308t019kb-1020g/
175;В наличии;209999;Palit GeForce RTX 3080 Ti GamingPro [NED308T019KB-132AA] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1365 МГц - 1665 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/8492f4a2a66a2ff1/videokarta-palit-geforce-rtx-3080-ti-gamingpro-ned308t019kb-132aa/
176;В наличии;219999;MSI GeForce RTX 3080 Ti GAMING X TRIO [RTX 3080 Ti GAMING X TRIO 12G] [PCI-E 4.0, 12 ГБ GDDR6X, 384 бит, 1365 МГц - 1770 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/d803f310ae212ff1/videokarta-msi-geforce-rtx-3080-ti-gaming-x-trio-rtx-3080-ti-gaming-x-trio-12g/
177;В магазинах;285999;GIGABYTE AORUS GeForce RTX 3080 MASTER [GV-N3080AORUS M-10GD] [PCI-E 4.0, 10 ГБ GDDR6X, 320 бит, 1440 МГц - 1845 МГц, DisplayPort x3, HDMI x3];4,5;https://www.dns-shop.ru//product/ef631252f6471b80/videokarta-gigabyte-aorus-geforce-rtx-3080-master-gv-n3080aorus-m-10gd/
178;В наличии;299999;Palit GeForce RTX 3090 GamingPro [NED3090019SB-132BA] [PCI-E 4.0, 24 ГБ GDDR6X, 384 бит, 1395 МГц - 1695 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/48736f96ecc73332/videokarta-palit-geforce-rtx-3090-gamingpro-ned3090019sb-132ba/
179;В наличии;301999;INNO3D GeForce RTX 3090 iChill X4 [C30904-246XX-1880VA36] [PCI-E 4.0, 24 ГБ GDDR6X, 384 бит, 1395 МГц - 1755 МГц, DisplayPort x3, HDMI];4;https://www.dns-shop.ru//product/04a8b8e5ed863332/videokarta-inno3d-geforce-rtx-3090-ichill-x4-c30904-246xx-1880va36/
180;В наличии;319999;Palit GeForce RTX 3090 GamingPro OC [NED3090019SB-132BA] [PCI-E 4.0, 24 ГБ GDDR6X, 384 бит, 1395 МГц - 1725 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/605e1779fca21b80/videokarta-palit-geforce-rtx-3090-gamingpro-oc-ned3090019sb-132ba/
181;В наличии;349999;MSI GeForce RTX 3090 GAMING X TRIO [RTX 3090 GAMING X TRIO 24G] [PCI-E 4.0, 24 ГБ GDDR6X, 384 бит, 1395 МГц - 1785 МГц, DisplayPort x3, HDMI];4,5;https://www.dns-shop.ru//product/32b53cc5f2403332/videokarta-msi-geforce-rtx-3090-gaming-x-trio-rtx-3090-gaming-x-trio-24g/
182;В наличии;396499;EVGA GeForce RTX 3090 FTW3 ULTRA GAMING [24G-P5-3987-KR] [PCI-E 4.0, 24 ГБ GDDR6X, 384 бит, 1395 МГц - 1800 МГц, DisplayPort x3, HDMI];4;https://www.dns-shop.ru//product/f19fb39711261b80/videokarta-evga-geforce-rtx-3090-ftw3-ultra-gaming-24g-p5-3987-kr/
